Feature ID	Taxon
AB042861_Lepisosteus_oculatus	k__Metazoa;p__Chordata;c__Actinopteri;o__Semionotiformes;f__Lepisosteidae;g__Lepisosteus;s__oculatus
AB042952_Amia_calva	k__Metazoa;p__Chordata;c__Actinopteri;o__Amiiformes;f__Amiidae;g__Amia;s__calva
AB048590.1	k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Canis;s__lupus_familiaris
AB049357.1	k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__musculus
AB098844.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098857.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098866.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098882.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098885.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099115.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099116.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099119.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099145.1	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB119065.1	k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Mustela;s__nivalis
AB119074.1	k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Neogale;s__vison
AB127393_Notemigonus_crysoleucas	k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Notemigonus;s__crysoleucas
